cve_id,asset,cvss_score,epss_score,in_kev,risk_description
CVE-2026-21519,Windows 10 Pro,7.8,0.04517,True,CVE CVE-2026-21519 affects Windows 10 Pro. EPSS score 0.0452 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2026-21514,Microsoft 365 Apps for Business,7.8,0.04479,True,CVE CVE-2026-21514 affects Microsoft 365 Apps for Business. EPSS score 0.0448 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-22226,VMware vSphere,7.1,0.04325,True,CVE CVE-2025-22226 affects VMware vSphere. EPSS score 0.0432 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-24984,Windows Server 2022,4.6,0.04147,True,CVE CVE-2025-24984 affects Windows Server 2022. EPSS score 0.0415 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-24984,Windows 10 Pro,4.6,0.04147,True,CVE CVE-2025-24984 affects Windows 10 Pro. EPSS score 0.0415 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2026-21510,Windows Server 2022,8.8,0.0404,True,CVE CVE-2026-21510 affects Windows Server 2022. EPSS score 0.0404 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2026-21510,Windows 10 Pro,8.8,0.0404,True,CVE CVE-2026-21510 affects Windows 10 Pro. EPSS score 0.0404 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-59230,Windows Server 2022,7.8,0.03724,True,CVE CVE-2025-59230 affects Windows Server 2022. EPSS score 0.0372 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-59230,Windows 10 Pro,7.8,0.03724,True,CVE CVE-2025-59230 affects Windows 10 Pro. EPSS score 0.0372 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-5419,Google Chrome,8.8,0.03502,True,CVE CVE-2025-5419 affects Google Chrome. EPSS score 0.0350 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-20352,Cisco IOS XE,7.7,0.03427,True,CVE CVE-2025-20352 affects Cisco IOS XE. EPSS score 0.0343 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2026-20805,Windows Server 2022,5.5,0.03422,True,CVE CVE-2026-20805 affects Windows Server 2022. EPSS score 0.0342 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2026-20805,Windows 10 Pro,5.5,0.03422,True,CVE CVE-2026-20805 affects Windows 10 Pro. EPSS score 0.0342 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-38107,Windows Server 2022,7.8,0.03353,True,CVE CVE-2024-38107 affects Windows Server 2022. EPSS score 0.0335 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-38107,Windows 10 Pro,7.8,0.03353,True,CVE CVE-2024-38107 affects Windows 10 Pro. EPSS score 0.0335 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-4761,Google Chrome,8.8,0.03149,True,CVE CVE-2024-4761 affects Google Chrome. EPSS score 0.0315 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-13223,Google Chrome,8.8,0.02804,True,CVE CVE-2025-13223 affects Google Chrome. EPSS score 0.0280 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
